ID,Title,Category,URL,No_Reads
502430,5 WWE Superstars with most matches in 2018,wwe,https://www.sportskeeda.com/wwe/5-wwe-superstars-most-matches-2018,1226
502461,"Madrid & Barca target world-class striker, Valverde's Barca contract, Neymar release clause, and more La Liga news - 26th December 2018",football,https://www.sportskeeda.com/football/la-liga-news-transfer-round-up-26th-december-2018,842
502469,WWE Rumors: Tentative date for launch of Women's Tag Team Titles revealed?,wwe,https://www.sportskeeda.com/wwe/wwe-rumors-tentative-date-for-launch-of-women-s-tag-team-titles-revealed,341
502471,"Australia vs India 2018/19, Third Test, Day 1: 5 Talking Points ",cricket,https://www.sportskeeda.com/cricket/australia-vs-india-2018-19-third-test-day-1-5-talking-points,394
502433,"You're paid to win, not play: Smith talks of CA pressure before ball-tampering scandal",cricket,https://www.sportskeeda.com/cricket/you-re-paid-to-win-not-play-smith-talks-of-ca-pressure-before-ball-tampering-scandal,744
502494,Agarwal struggled to contain emotions amid debut fifty,cricket,https://www.sportskeeda.com/cricket/agarwal-struggled-to-contain-emotions-amid-debut-fifty,54
502487,Kovacic: Chelsea the right club... for now,football,https://www.sportskeeda.com/football/kovacic-chelsea-the-right-club-for-now,128
502361,Top 3 most disappointing players for Chelsea so far this season,football,https://www.sportskeeda.com/football/top-3-most-disappointing-players-for-chelsea-so-far-this-season-ss,183
502448,"Mitchell Marsh 'booed' at MCG, Head terms it disappointing",cricket,https://www.sportskeeda.com/cricket/mitchell-marsh-booed-at-mcg-head-terms-it-disappointing,149
502263,Australian commentators insult Mayank Agarwal and Ranji Trophy during the MCG Test,cricket,https://www.sportskeeda.com/cricket/australian-commentators-insult-mayank-agarwal-and-ranji-trophy-during-the-mcg-test,72060
502440,"Australia vs India 2018-19, 3rd Test: Aussie commentators should not jump the gun on nature of MCG pitch",cricket,https://www.sportskeeda.com/cricket/australia-vs-india-2018-19-3rd-test-aussie-commentators-should-not-jump-the-gun-on-nature-of-mcg-pitch,468
502474,"Pro Kabaddi League 2018, Match 131: Jaipur Pink Panthers vs Bengaluru Bulls | Match Preview, Predicted Lineups, When & Where to watch",kabaddi,https://www.sportskeeda.com/kabaddi/pro-kabaddi-league-2018-match-131-jaipur-pink-panthers-vs-bengaluru-bulls-match-preview-predicted-lineups-when-where-to-watch,10
502447,"NBA 2018-19, Miami Heat vs Toronto Raptors: Preview and prediction",basketball,https://www.sportskeeda.com/basketball/nba-2018-19-miami-heat-vs-toronto-raptors-preview-and-prediction,21
502495,Garitano sacked by Real Sociedad,football,https://www.sportskeeda.com/football/garitano-sacked-by-real-sociedad,18
502483,Cristiano Ronaldo rested for Atalanta v Juventus,football,https://www.sportskeeda.com/football/cristiano-ronaldo-rested-for-atalanta-v-juventus,109
502424,IPL 2019: Ranking the openers of each team,cricket,https://www.sportskeeda.com/cricket/ipl-2019-ranking-the-openers-of-each-ipl-team,3656
502415,3 WWE Superstars expected to shine in 2019,wwe,https://www.sportskeeda.com/wwe/3-wwe-superstars-expected-to-shine-in-2019-ss,1926
502377,Shubman Gill vs the world: When will the talented youngster get the recognition he deserves?,cricket,https://www.sportskeeda.com/cricket/shubman-gill-vs-the-world,6188
502351,IPL 2019: Head coach and other support staff of all 8 IPL teams,cricket,https://www.sportskeeda.com/cricket/ipl-2019-head-coach-and-other-support-staff-of-all-8-ipl-teams,4572
502446,What does boxing day test mean,cricket,https://www.sportskeeda.com/cricket/what-does-boxing-day-test-mean,49
